	#node1	node2
345	STAT5A	STAT2
346	STAT4	STAT5A
347	IL2RG	IL2
348	IL2RG	IL2RB
349	IL2	IL2RB
350	IL2RA	IL2RB
351	IL2RA	IL2
352	NFATC2	FOXP3
353	IL2RA	IL2RG
354	STAT5A	STAT3
355	GZMB	IL2RB
356	STAT5B	STAT3
357	FOXP3	IL2
358	STAT5A	STAT5B
359	NFATC2	IL2
360	IL2RA	STAT5A
361	IL2RA	STAT5B
362	NFATC1	IL2
363	STAT3	IL2RB
364	IL2RA	STAT3
365	STAT5B	IL2RB
366	STAT5A	IL2RB
367	IL2RG	STAT5A
368	IL2RA	FOXP3
369	NFATC2	NFATC1
370	NFATC2	IL2RA
371	IL2RA	NFATC1
372	IL2RA	GZMB
373	IL2RG	STAT3
374	IL2RG	STAT5B
375	STAT3	IL2
376	IL2RG	GZMB
377	STAT5B	IL2
378	STAT5A	IL2
379	IL2	GZMB
380	FOXP3	IL2RG
381	FOXP3	NFATC1
382	CUL1	RBX1
383	CUL3	RBX1
384	CUL2	RBX1
385	CUL1	FBXW11
386	BTRC	CUL1
387	CUL5	RBX1
388	KLHL2	CUL3
389	UBC	FBXW11
390	BTRC	FBXW11
391	UBC	CUL3
392	UBC	CUL1
393	CUL2	UBC
394	CUL3	KEAP1
395	CUL1	CUL3
396	CUL2	KEAP1
397	BTRC	UBC
398	CUL5	UBC
399	CUL2	CUL3
400	CUL5	CUL3
401	RBX1	KEAP1
402	UBC	KEAP1
403	NFE2L2	KEAP1
404	BTRC	KEAP1
405	KLHL2	KEAP1
406	BTRC	RBX1
407	FBXW11	RBX1
408	CUL5	KEAP1
409	KLHL2	CUL1
410	CUL1	KEAP1
411	KLHL2	CUL5
412	CUL2	KLHL2
413	FBXW11	KEAP1
414	CUL2	FBXW11
415	CUL5	BTRC
416	BTRC	CUL3
417	CUL5	FBXW11
418	CUL2	BTRC
419	FBXW11	CUL3
420	UBC	RBX1
421	CUL2	CUL1
422	CUL2	CUL5
423	KLHL2	BTRC
424	KLHL2	UBC
425	CUL5	CUL1
426	KLHL2	RBX1
